,Steps,ACC,method
395,2393.141414,0.77,direct
396,2393.141414,0.79,direct
397,2393.141414,0.84,direct
398,2393.141414,0.71,direct
399,2393.141414,0.77,direct
400,2423.434343,0.73,direct
401,2423.434343,0.68,direct
402,2423.434343,0.8,direct
403,2423.434343,0.64,direct
404,2423.434343,0.8,direct
405,2453.727273,0.81,direct
406,2453.727273,0.83,direct
407,2453.727273,0.66,direct
408,2453.727273,0.78,direct
409,2453.727273,0.82,direct
410,2484.020202,0.84,direct
411,2484.020202,0.72,direct
412,2484.020202,0.74,direct
413,2484.020202,0.77,direct
414,2484.020202,0.66,direct
415,2514.313131,0.79,direct
416,2514.313131,0.7,direct
417,2514.313131,0.8,direct
418,2514.313131,0.71,direct
419,2514.313131,0.72,direct
420,2544.606061,0.77,direct
421,2544.606061,0.65,direct
422,2544.606061,0.65,direct
423,2544.606061,0.74,direct
424,2544.606061,0.69,direct
425,2574.89899,0.82,direct
426,2574.89899,0.84,direct
427,2574.89899,0.82,direct
428,2574.89899,0.72,direct
429,2574.89899,0.73,direct
430,2605.191919,0.75,direct
431,2605.191919,0.71,direct
432,2605.191919,0.83,direct
433,2605.191919,0.77,direct
434,2605.191919,0.84,direct
435,2635.484848,0.68,direct
436,2635.484848,0.7,direct
437,2635.484848,0.8,direct
438,2635.484848,0.79,direct
439,2635.484848,0.75,direct
440,2665.777778,0.77,direct
441,2665.777778,0.76,direct
442,2665.777778,0.77,direct
443,2665.777778,0.79,direct
444,2665.777778,0.78,direct
445,2696.070707,0.83,direct
446,2696.070707,0.78,direct
447,2696.070707,0.82,direct
448,2696.070707,0.82,direct
449,2696.070707,0.68,direct
450,2726.363636,0.67,direct
451,2726.363636,0.83,direct
452,2726.363636,0.83,direct
453,2726.363636,0.84,direct
454,2726.363636,0.84,direct
455,2756.656566,0.84,direct
456,2756.656566,0.72,direct
457,2756.656566,0.84,direct
458,2756.656566,0.82,direct
459,2756.656566,0.7,direct
460,2786.949495,0.73,direct
461,2786.949495,0.79,direct
462,2786.949495,0.64,direct
463,2786.949495,0.73,direct
464,2786.949495,0.77,direct
465,2817.242424,0.79,direct
466,2817.242424,0.82,direct
467,2817.242424,0.8,direct
468,2817.242424,0.81,direct
469,2817.242424,0.71,direct
470,2847.535354,0.76,direct
471,2847.535354,0.83,direct
472,2847.535354,0.78,direct
473,2847.535354,0.76,direct
474,2847.535354,0.79,direct
475,2877.828283,0.77,direct
476,2877.828283,0.67,direct
477,2877.828283,0.74,direct
478,2877.828283,0.77,direct
479,2877.828283,0.78,direct
480,2908.121212,0.83,direct
481,2908.121212,0.72,direct
482,2908.121212,0.83,direct
483,2908.121212,0.78,direct
484,2908.121212,0.79,direct
485,2938.414141,0.74,direct
486,2938.414141,0.78,direct
487,2938.414141,0.83,direct
488,2938.414141,0.73,direct
489,2938.414141,0.7,direct
490,2968.707071,0.71,direct
491,2968.707071,0.78,direct
492,2968.707071,0.77,direct
493,2968.707071,0.75,direct
494,2968.707071,0.76,direct
495,2999,0.82,direct
496,2999,0.77,direct
497,2999,0.74,direct
498,2999,0.68,direct
499,2999,0.77,direct
500,3000,0.82,direct
501,3000,0.77,direct
502,3000,0.74,direct
503,3000,0.68,direct
504,3000,0.77,direct
505,3020,0.82,direct
506,3020,0.77,direct
507,3020,0.74,direct
508,3020,0.68,direct
509,3020,0.77,direct
510,3040,0.82,direct
511,3040,0.77,direct
512,3040,0.74,direct
513,3040,0.68,direct
514,3040,0.77,direct
515,3060,0.82,direct
516,3060,0.77,direct
517,3060,0.74,direct
518,3060,0.68,direct
519,3060,0.77,direct
520,3080,0.82,direct
521,3080,0.77,direct
522,3080,0.74,direct
523,3080,0.68,direct
524,3080,0.77,direct
525,3100,0.82,direct
526,3100,0.77,direct
527,3100,0.74,direct
528,3100,0.68,direct
529,3100,0.77,direct
530,3120,0.82,direct
531,3120,0.77,direct
532,3120,0.74,direct
533,3120,0.68,direct
534,3120,0.77,direct
535,3140,0.82,direct
536,3140,0.77,direct
537,3140,0.74,direct
538,3140,0.68,direct
539,3140,0.77,direct
540,3160,0.82,direct
541,3160,0.77,direct
542,3160,0.74,direct
543,3160,0.68,direct
544,3160,0.77,direct
545,3180,0.82,direct
546,3180,0.77,direct
547,3180,0.74,direct
548,3180,0.68,direct
549,3180,0.77,direct
550,3200,0.82,direct
551,3200,0.77,direct
552,3200,0.74,direct
553,3200,0.68,direct
554,3200,0.77,direct
555,3220,0.82,direct
556,3220,0.77,direct
557,3220,0.74,direct
558,3220,0.68,direct
559,3220,0.77,direct
560,3240,0.82,direct
561,3240,0.77,direct
562,3240,0.74,direct
563,3240,0.68,direct
564,3240,0.77,direct
565,3260,0.82,direct
566,3260,0.77,direct
567,3260,0.74,direct
568,3260,0.68,direct
569,3260,0.77,direct
570,3280,0.82,direct
571,3280,0.77,direct
572,3280,0.74,direct
573,3280,0.68,direct
574,3280,0.77,direct
575,3300,0.82,direct
576,3300,0.77,direct
577,3300,0.74,direct
578,3300,0.68,direct
579,3300,0.77,direct
580,3320,0.82,direct
581,3320,0.77,direct
582,3320,0.74,direct
583,3320,0.68,direct
584,3320,0.77,direct
585,3340,0.82,direct
586,3340,0.77,direct
587,3340,0.74,direct
588,3340,0.68,direct
589,3340,0.77,direct
590,3360,0.82,direct
591,3360,0.77,direct
592,3360,0.74,direct
593,3360,0.68,direct
594,3360,0.77,direct
595,3380,0.82,direct
596,3380,0.77,direct
597,3380,0.74,direct
598,3380,0.68,direct
599,3380,0.77,direct
