,Steps,ASR,method
825,1304.959839,0.75,bb
826,1304.959839,0.64,bb
827,1304.959839,0.63,bb
828,1304.959839,0.75,bb
829,1304.959839,0.71,bb
830,1325.036145,0.72,bb
831,1325.036145,0.7,bb
832,1325.036145,0.73,bb
833,1325.036145,0.74,bb
834,1325.036145,0.68,bb
835,1345.11245,0.76,bb
836,1345.11245,0.75,bb
837,1345.11245,0.76,bb
838,1345.11245,0.67,bb
839,1345.11245,0.76,bb
840,1365.188755,0.75,bb
841,1365.188755,0.66,bb
842,1365.188755,0.75,bb
843,1365.188755,0.76,bb
844,1365.188755,0.72,bb
845,1385.26506,0.7,bb
846,1385.26506,0.76,bb
847,1385.26506,0.75,bb
848,1385.26506,0.74,bb
849,1385.26506,0.68,bb
850,1405.341365,0.71,bb
851,1405.341365,0.77,bb
852,1405.341365,0.72,bb
853,1405.341365,0.74,bb
854,1405.341365,0.71,bb
855,1425.417671,0.78,bb
856,1425.417671,0.71,bb
857,1425.417671,0.78,bb
858,1425.417671,0.73,bb
859,1425.417671,0.78,bb
860,1445.493976,0.77,bb
861,1445.493976,0.77,bb
862,1445.493976,0.77,bb
863,1445.493976,0.68,bb
864,1445.493976,0.76,bb
865,1465.570281,0.79,bb
866,1465.570281,0.71,bb
867,1465.570281,0.73,bb
868,1465.570281,0.78,bb
869,1465.570281,0.79,bb
870,1485.646586,0.72,bb
871,1485.646586,0.77,bb
872,1485.646586,0.72,bb
873,1485.646586,0.68,bb
874,1485.646586,0.75,bb
875,1505.722892,0.76,bb
876,1505.722892,0.74,bb
877,1505.722892,0.75,bb
878,1505.722892,0.76,bb
879,1505.722892,0.72,bb
880,1525.799197,0.71,bb
881,1525.799197,0.74,bb
882,1525.799197,0.73,bb
883,1525.799197,0.77,bb
884,1525.799197,0.7,bb
885,1545.875502,0.72,bb
886,1545.875502,0.8,bb
887,1545.875502,0.74,bb
888,1545.875502,0.77,bb
889,1545.875502,0.71,bb
890,1565.951807,0.81,bb
891,1565.951807,0.73,bb
892,1565.951807,0.73,bb
893,1565.951807,0.8,bb
894,1565.951807,0.76,bb
895,1586.028112,0.72,bb
896,1586.028112,0.8,bb
897,1586.028112,0.68,bb
898,1586.028112,0.76,bb
899,1586.028112,0.81,bb
900,1606.104418,0.82,bb
901,1606.104418,0.76,bb
902,1606.104418,0.7,bb
903,1606.104418,0.82,bb
904,1606.104418,0.76,bb
905,1626.180723,0.75,bb
906,1626.180723,0.81,bb
907,1626.180723,0.75,bb
908,1626.180723,0.78,bb
909,1626.180723,0.8,bb
910,1646.257028,0.82,bb
911,1646.257028,0.72,bb
912,1646.257028,0.81,bb
913,1646.257028,0.77,bb
